(B) 6GT 2963
Position,"40.3°, -97.0°"
Shot Bearing,190.0°
Shot Angle,0.0°

Wind,0.0 mph @ 27.9°
Pressure,28.82 in Hg
Temperature,68.5 °F
Relative Humidity,57.0%
Density Altitude,2088.9 ft

Range (yd),Elev. (MRAD),Wind (MRAD),Vel. (ft/s),Energy (ft-lb)
100.00,  0.00,  0.00,2771.14,1841.22
200.00,U 0.28,  0.02,2607.32,1629.97
264.00,U 0.63,  0.03,2505.38,1505.00
300.00,U 0.85,  0.04,2449.06,1438.11
400.00,U 1.54,L 0.06,2296.38,1264.38
500.00,U 2.32,L 0.08,2149.27,1107.57
600.00,U 3.19,L 0.11,2007.62,966.39
700.00,U 4.15,L 0.13,1870.75,839.12
800.00,U 5.22,L 0.16,1738.54,724.70
900.00,U 6.41,L 0.20,1610.70,622.04
1000.00,U 7.73,L 0.23,1487.10,530.24
1036.00,U 8.25,L 0.25,1443.72,499.75
1100.00,U 9.22,L 0.27,1368.17,448.82
1200.00,U 10.88,L 0.32,1254.74,377.48
1300.00,U 12.77,L 0.37,1148.83,316.45
1330.00,U 13.38,L 0.38,1120.46,301.01
