Custom Bullet

Target,Range [Y],Elevation [MRAD],Windage [MRAD],Windage 2 [MRAD],Velocity [FPS],Energy [J],Profile,Wind Direction,Windspeed [MPH],Windspeed 2 [MPH],Temperature [°F],Pressure [INHG],HUMIDITY [%],AZIMUTH [°],INCLINATION [°],LATITUDE,MAX ORD [IN],MAX O. RNG [Y],TRACE [MRAD],Drop [IN],pHit [%],Shape [MRAD]
1,100,0.0 U,0.1 L,0.1 L,2196,2032,null,12:00,0,0,0,0.00,0,0°,0°,0.000,0.03,90,0.01,-6.28,96,
2,200,0.6 U,0.2 L,0.2 L,2038,1750,null,12:00,0,0,0,0.00,0,0°,0°,0.000,2.17,119,0.51,-16.65,71,
3,300,1.6 U,0.3 L,0.3 L,1887,1501,null,12:00,0,0,0,0.00,0,0°,0°,0.000,7.20,165,1.21,-35.59,49,
4,400,2.8 U,0.4 L,0.4 L,1744,1282,null,12:00,0,0,0,0.00,0,0°,0°,0.000,15.25,216,1.96,-64.32,33,
5,500,4.1 U,0.5 L,0.5 L,1609,1091,null,12:00,0,0,0,0.00,0,0°,0°,0.000,26.98,270,2.77,-104.50,21,
6,600,5.6 U,0.7 L,0.7 L,1484,928,null,12:00,0,0,0,0.00,0,0°,0°,0.000,43.26,326,3.69,-158.14,12,
7,700,7.3 U,0.8 L,0.8 L,1370,791,null,12:00,0,0,0,0.00,0,0°,0°,0.000,65.14,384,4.71,-227.59,7,
8,800,9.3 U,0.9 L,0.9 L,1269,679,null,12:00,0,0,0,0.00,0,0°,0°,0.000,93.86,443,5.88,-315.58,4,
9,900,11.4 U,1.1 L,1.1 L,1183,589,null,12:00,0,0,0,0.00,0,0°,0°,0.000,130.82,504,7.22,-425.18,3,
10,1000,13.9 U,1.3 L,1.3 L,1112,521,null,12:00,0,0,0,0.00,0,0°,0°,0.000,177.50,565,8.73,-559.64,2,
11,1100,16.6 U,1.4 L,1.4 L,1055,469,null,12:00,0,0,0,0.00,0,0°,0°,0.000,235.36,627,10.43,-722.22,1,
12,1200,19.5 U,1.6 L,1.6 L,1009,429,null,12:00,0,0,0,0.00,0,0°,0°,0.000,305.72,688,12.34,-916.04,1,
13,1300,22.8 U,1.7 L,1.7 L,970,397,null,12:00,0,0,0,0.00,0,0°,0°,0.000,389.76,750,14.43,-1144.06,1,
14,1400,26.3 U,1.8 L,1.8 L,936,370,null,12:00,0,0,0,0.00,0,0°,0°,0.000,488.56,810,16.75,-1409.11,0,
